Philosopher,Cause,Category,Weight
Thales,water,material,1
Anaximenes,air,material,1
Diogenes,air,material,1
Heraclitus,fire,material,1
Empedocles,fire,material,1
Empedocles,water,material,1
Empedocles,air,material,1
Empedocles,earth,material,1
Anaxagoras,infinite principles,material,1
Leucippus,being and non-being,material,1
Democritus,being and non-being,material,1
Pythagoras,numbers,intangible,1
Alcmaeon,contraries,intangible,1
Parmenides,the One,intangible,1
Xenophanes,the One,intangible,1
Melissus,the One (matter),material,1
